derivedNs.amortizedInitializationPlusOperationsPerOp.max,derivedNs.amortizedInitializationPlusOperationsPerOp.min,derivedNs.amortizedInitializationPlusOperationsPerOp.p50,derivedNs.amortizedInitializationPlusOperationsPerOp.p90,derivedNs.remainingPerOperation.max,derivedNs.remainingPerOperation.min,derivedNs.remainingPerOperation.p50,derivedNs.remainingPerOperation.p90,external.processWallNs.max,external.processWallNs.min,external.processWallNs.p50,external.processWallNs.p90,library,loadedClassDelta.firstOperation.max,loadedClassDelta.firstOperation.min,loadedClassDelta.firstOperation.p50,loadedClassDelta.firstOperation.p90,loadedClassDelta.libraryInitialization.max,loadedClassDelta.libraryInitialization.min,loadedClassDelta.libraryInitialization.p50,loadedClassDelta.libraryInitialization.p90,loadedClassDelta.remainingOperations.max,loadedClassDelta.remainingOperations.min,loadedClassDelta.remainingOperations.p50,loadedClassDelta.remainingOperations.p90,operation,operationCount,samples,threadAllocatedBytes.firstOperation.max,threadAllocatedBytes.firstOperation.min,threadAllocatedBytes.firstOperation.p50,threadAllocatedBytes.firstOperation.p90,threadAllocatedBytes.libraryInitialization.max,threadAllocatedBytes.libraryInitialization.min,threadAllocatedBytes.libraryInitialization.p50,threadAllocatedBytes.libraryInitialization.p90,threadAllocatedBytes.remainingOperations.max,threadAllocatedBytes.remainingOperations.min,threadAllocatedBytes.remainingOperations.p50,threadAllocatedBytes.remainingOperations.p90,timingNs.firstOperation.max,timingNs.firstOperation.min,timingNs.firstOperation.p50,timingNs.firstOperation.p90,timingNs.initializationPlusOperations.max,timingNs.initializationPlusOperations.min,timingNs.initializationPlusOperations.p50,timingNs.initializationPlusOperations.p90,timingNs.libraryInitialization.max,timingNs.libraryInitialization.min,timingNs.libraryInitialization.p50,timingNs.libraryInitialization.p90,timingNs.operationsTotal.max,timingNs.operationsTotal.min,timingNs.operationsTotal.p50,timingNs.operationsTotal.p90,timingNs.remainingOperations.max,timingNs.remainingOperations.min,timingNs.remainingOperations.p50,timingNs.remainingOperations.p90
5865962.5,3784343.4,4152832.5,4510946.8,253477.33333333334,164726.0,193934.05555555556,211093.88888888888,1.25505373E8,9.8173767E7,1.07241561E8,1.15940083E8,gson,198.0,198.0,198.0,198.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,serialize,10,30,1854848.0,1854848.0,1854848.0,1854848.0,1273568.0,1273568.0,1273568.0,1273568.0,75888.0,75888.0,75888.0,75888.0,3.6222714E7,2.1833305E7,2.45866545E7,2.6876151E7,5.8659625E7,3.7843434E7,4.1528325E7,4.5109468E7,2.0334395E7,1.3893064E7,1.54023115E7,1.696126E7,3.832523E7,2.3461945E7,2.6157019E7,2.8718878E7,2281296.0,1482534.0,1745406.5,1899845.0
631527.46,461827.22,502926.04500000004,572425.23,169369.33333333334,106648.0808080808,115169.75757575757,128723.48484848485,1.4924466E8,1.0559295E8,1.145868645E8,1.25712403E8,gson,198.0,198.0,198.0,198.0,197.0,197.0,197.0,197.0,25.0,25.0,25.0,25.0,serialize,100,30,1854848.0,1854848.0,1854848.0,1854848.0,1273568.0,1273568.0,1273568.0,1273568.0,1620208.0,1620040.0,1620168.0,1620208.0,2.8213479E7,2.178201E7,2.37690125E7,2.5878029E7,6.3152746E7,4.6182722E7,5.02926045E7,5.7242523E7,1.9275351E7,1.3842552E7,1.52578415E7,1.7802382E7,4.4923916E7,3.234017E7,3.5036154E7,3.8060352E7,1.6767564E7,1.055816E7,1.1401806E7,1.2743625E7
1.58048803E8,1.21864653E8,1.34025171E8,1.45490366E8,,,,,2.30422261E8,1.82427339E8,1.981641245E8,2.11530621E8,jackson,400.0,400.0,400.0,400.0,601.0,601.0,601.0,601.0,,,,,deserialize,1,30,6925640.0,6925640.0,6925640.0,6925640.0,1.059296E7,1.0589888E7,1.0591616E7,1.0592576E7,,,,,7.5059528E7,5.5509941E7,6.2123671E7,6.7709523E7,1.58048803E8,1.21864653E8,1.34025171E8,1.45490366E8,8.2989275E7,6.5576659E7,7.17927895E7,7.792574E7,7.5059528E7,5.5509941E7,6.2123671E7,6.7709523E7,0.0,0.0,0.0,0.0
1.63147791E7,1.25367449E7,1.347733125E7,1.47539834E7,392099.3333333333,263075.6666666667,297519.1111111111,348380.1111111111,2.39348641E8,1.86202765E8,2.002005855E8,2.10991081E8,jackson,400.0,400.0,400.0,400.0,601.0,601.0,601.0,601.0,0.0,0.0,0.0,0.0,deserialize,10,30,6925640.0,6925640.0,6925640.0,6925640.0,1.0593664E7,1.0589952E7,1.059168E7,1.05928E7,66312.0,66312.0,66312.0,66312.0,7.2701834E7,5.6697366E7,6.15839735E7,6.806188E7,1.63147791E8,1.25367449E8,1.347733125E8,1.47539834E8,8.7409546E7,6.563399E7,7.15069445E7,7.6460139E7,7.5738245E7,5.9065047E7,6.4438484E7,7.1520751E7,3528894.0,2367681.0,2677672.0,3135421.0
1764498.15,1366595.72,1509273.17,1612317.64,214190.1616161616,153160.7373737374,171256.55050505052,206473.47474747474,2.48134565E8,1.97212549E8,2.183129625E8,2.28495045E8,jackson,400.0,400.0,400.0,400.0,601.0,601.0,601.0,601.0,27.0,27.0,27.0,27.0,deserialize,100,30,6925640.0,6925640.0,6925640.0,6925640.0,1.059328E7,1.0590176E7,1.0590944E7,1.0592896E7,1608024.0,1607552.0,1608024.0,1608024.0,7.2302909E7,5.6059193E7,6.2288219E7,6.6962002E7,1.76449815E8,1.36659572E8,1.50927317E8,1.61231764E8,8.4993707E7,6.5055833E7,7.12831035E7,7.7899642E7,9.1969985E7,7.1603739E7,7.94482695E7,8.4647804E7,2.1204826E7,1.5162913E7,1.69543985E7,2.0440874E7
1.27449004E8,1.04554646E8,1.141650275E8,1.2085415E8,,,,,2.02601644E8,1.68034248E8,1.78825947E8,1.86930666E8,jackson,282.0,282.0,282.0,282.0,601.0,601.0,601.0,601.0,,,,,serialize,1,30,3464160.0,3464160.0,3464160.0,3464160.0,1.0592928E7,1.0589952E7,1.0591408E7,1.0592768E7,,,,,4.8683791E7,3.9527324E7,4.31839465E7,4.7424117E7,1.27449004E8,1.04554646E8,1.141650275E8,1.2085415E8,7.930761E7,6.5027322E7,7.0695633E7,7.4010525E7,4.8683791E7,3.9527324E7,4.31839465E7,4.7424117E7,0.0,0.0,0.0,0.0
1.3474659E7,1.06504634E7,1.162848735E7,1.2286213E7,237809.55555555556,163063.88888888888,192839.72222222222,213932.33333333334,2.06408313E8,1.66901762E8,1.807022665E8,1.8917122E8,jackson,282.0,282.0,282.0,282.0,601.0,601.0,601.0,601.0,2.0,2.0,2.0,2.0,serialize,10,30,3464160.0,3464160.0,3464160.0,3464160.0,1.0592896E7,1.058976E7,1.059136E7,1.059264E7,38536.0,38536.0,38536.0,38536.0,4.9976405E7,3.9756444E7,4.2805178E7,4.6426723E7,1.3474659E8,1.06504634E8,1.162848735E8,1.2286213E8,8.3461935E7,6.4825355E7,7.1307627E7,7.5226295E7,5.1956811E7,4.1496877E7,4.45979295E7,4.8199468E7,2140286.0,1467575.0,1735557.5,1925391.0
1411539.65,1173067.2,1268650.665,1326003.88,153283.29292929292,103583.52525252526,115203.75252525252,139984.9393939394,2.12416596E8,1.82546537E8,1.93143158E8,2.03149529E8,jackson,282.0,282.0,282.0,282.0,601.0,601.0,601.0,601.0,27.0,27.0,27.0,27.0,serialize,100,30,3464160.0,3464160.0,3464160.0,3464160.0,1.0593696E7,1.058944E7,1.0590912E7,1.0592832E7,1126056.0,1125992.0,1126056.0,1126056.0,4.9915939E7,3.9256618E7,4.38169965E7,4.5960145E7,1.41153965E8,1.1730672E8,1.268650665E8,1.32600388E8,7.8143348E7,6.5870317E7,7.15304325E7,7.612067E7,6.3010617E7,4.9603901E7,5.5091914E7,5.9054641E7,1.5175046E7,1.0254769E7,1.14051715E7,1.3858509E7
1.57041E7,1.1406059E7,1.29194395E7,1.4744122E7,,,,,9.6186509E7,6.9536787E7,7.70461775E7,8.6908668E7,kotlinx,63.0,63.0,63.0,63.0,16.0,16.0,16.0,16.0,,,,,deserialize,1,30,863600.0,863600.0,863600.0,863600.0,280792.0,280792.0,280792.0,280792.0,,,,,1.1981961E7,8753663.0,9841853.0,1.1259029E7,1.57041E7,1.1406059E7,1.29194395E7,1.4744122E7,3722139.0,2652396.0,3025985.0,3485093.0,1.1981961E7,8753663.0,9841853.0,1.1259029E7,0.0,0.0,0.0,0.0
1854876.0,1351005.1,1448283.6,1620310.1,264119.6666666667,192725.55555555556,210624.0,229307.0,8.8670313E7,7.2849251E7,7.84231695E7,8.522305E7,kotlinx,63.0,63.0,63.0,63.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,deserialize,10,30,863600.0,863600.0,863600.0,863600.0,280792.0,280792.0,280792.0,280792.0,77856.0,76968.0,77856.0,77856.0,1.2690244E7,8920039.0,9587607.5,1.0800461E7,1.854876E7,1.3510051E7,1.4482836E7,1.6203101E7,3605173.0,2724354.0,2951638.0,3509568.0,1.4943587E7,1.0672492E7,1.16331355E7,1.2678894E7,2377077.0,1734530.0,1895616.0,2063763.0
236173.33,195843.59,212577.025,224976.66,96049.73737373737,80356.36363636363,88753.86363636365,93133.81818181818,9.100349E7,7.8793562E7,8.63623005E7,8.8504947E7,kotlinx,63.0,63.0,63.0,63.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,deserialize,100,30,863600.0,863600.0,863600.0,863600.0,280792.0,280792.0,280792.0,280792.0,852632.0,850824.0,851888.0,852560.0,1.0813075E7,8818938.0,9591537.0,1.0166079E7,2.3617333E7,1.9584359E7,2.12577025E7,2.2497666E7,3630535.0,2629613.0,2947099.0,3139259.0,2.0247416E7,1.6913215E7,1.83093065E7,1.9393861E7,9508924.0,7955280.0,8786632.5,9220248.0
1.5434168E7,1.16334E7,1.33666035E7,1.505158E7,,,,,8.6238619E7,6.9811566E7,7.79116185E7,8.3802134E7,kotlinx,69.0,69.0,69.0,69.0,16.0,16.0,16.0,16.0,,,,,serialize,1,30,1037744.0,1037744.0,1037744.0,1037744.0,280792.0,280792.0,280792.0,280792.0,,,,,1.1903962E7,8873701.0,1.0292292E7,1.1654751E7,1.5434168E7,1.16334E7,1.33666035E7,1.505158E7,3587208.0,2634180.0,3042681.5,3442521.0,1.1903962E7,8873701.0,1.0292292E7,1.1654751E7,0.0,0.0,0.0,0.0
1704407.4,1310488.1,1439866.85,1582783.4,226865.77777777778,157319.88888888888,171077.5,186186.55555555556,9.0026806E7,7.1404233E7,7.8124135E7,8.2222586E7,kotlinx,69.0,69.0,69.0,69.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,serialize,10,30,1037744.0,1037744.0,1037744.0,1037744.0,280792.0,280792.0,280792.0,280792.0,28456.0,28456.0,28456.0,28456.0,1.195551E7,8972558.0,9982191.0,1.0983493E7,1.7044074E7,1.3104881E7,1.43986685E7,1.5827834E7,3336021.0,2649370.0,2929376.0,3253896.0,1.3844922E7,1.0442818E7,1.15299395E7,1.2659172E7,2041792.0,1415879.0,1539697.5,1675679.0
223412.12,173036.66,193484.82,213309.69,76868.28282828283,55515.444444444445,60619.85353535353,72046.75757575757,9.6036281E7,7.7220446E7,8.48191725E7,9.3716514E7,kotlinx,69.0,69.0,69.0,69.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,serialize,100,30,1037744.0,1037744.0,1037744.0,1037744.0,280792.0,280792.0,280792.0,280792.0,303736.0,303680.0,303736.0,303736.0,1.1814405E7,9110905.0,1.00952345E7,1.1433098E7,2.2341212E7,1.7303666E7,1.9348482E7,2.1330969E7,3759251.0,2670331.0,2980344.0,3412674.0,1.8714405E7,1.4633335E7,1.62719555E7,1.8141537E7,7609960.0,5496029.0,6001365.5,7132629.0
